mode,gamma,delivery_start,raw_cost,D_ch_norm,D_dis_norm,total_charge_MWh,total_discharge_MWh,sat_hours,sat_MWh
single-price,0.0001,2018-08-02 00:00:00+00:00,2247.5000842352492,2.2584853241719734e-07,5.775097645419013e-08,4.210526332545137,3.800000014887625,0,7.411310180395584e-10
single-price,0.0005,2018-08-02 00:00:00+00:00,2247.500083987912,1.4446859034815216e-09,1.546208505133543e-09,4.210526316033097,3.800000000216412,0,1.3319489952400186e-11
single-price,0.001,2018-08-02 00:00:00+00:00,2247.500084415691,1.0226227799463583e-07,5.891339231917424e-08,4.2105263427432735,3.800000023917846,0,1.4856439046504403e-09
single-price,0.005,2018-08-02 00:00:00+00:00,2247.500083994545,2.9310195478421984e-09,1.5352585311709778e-09,4.2105263161070985,3.8000000002888985,0,9.783882389175803e-12
single-price,0.01,2018-08-02 00:00:00+00:00,2247.5000839890754,2.461274531216998e-09,1.5685742793726157e-09,4.21052631589523,3.8000000000918908,0,1.6671814157445103e-10
dual-price,0.0,2018-08-02 00:00:00+00:00,2519.849365839021,3.3925769825280736,3.8784152317397083,7.5514518669489785,6.698061617490005,12,3.7739575970885495
dual-price,0.0001,2018-08-02 00:00:00+00:00,2519.849365429108,3.392576964551866,3.8784152292293284,7.551451873651652,6.698061598024605,12,3.7739575755718704
dual-price,0.0005,2018-08-02 00:00:00+00:00,2519.8493662956107,3.3925770011504452,3.8784152485831176,7.55145187169332,6.698061625230718,12,3.773957590450764
dual-price,0.001,2018-08-02 00:00:00+00:00,2519.8493657508807,3.392576978782295,3.8784152312775526,7.551451868598366,6.698061613254335,12,3.773957592777709
dual-price,0.005,2018-08-02 00:00:00+00:00,2519.726664585628,3.3774448529205543,3.8756562823638734,7.551897550926565,6.679027985921293,12,3.769052428004243
dual-price,0.01,2018-08-02 00:00:00+00:00,2519.6686290482558,3.371055443202811,3.8588886431843616,7.552067459453999,6.676813299659575,12,3.7597435418230414
dispatchability,0.0,2018-08-02 00:00:00+00:00,,41.25960770946143,41.81580843220331,18.042600760452306,16.032143750246846,18,24.11977055835362
dispatchability,0.0001,2018-08-02 00:00:00+00:00,,7.031630197037939,7.095042150580674,12.288613295017027,10.878577585556414,15,7.522879396271836
dispatchability,0.0005,2018-08-02 00:00:00+00:00,,5.136590991991159,4.694450044013579,11.934734704694854,10.449160009649976,16,6.519696004449643
dispatchability,0.001,2018-08-02 00:00:00+00:00,,4.605242168786765,3.9092705878916205,11.59671153041283,10.058802805615993,16,6.006826712303034
dispatchability,0.005,2018-08-02 00:00:00+00:00,,3.346279241949435,2.4611030824441373,9.666857694909705,8.389540931836223,15,4.53058603847402
dispatchability,0.01,2018-08-02 00:00:00+00:00,,2.7040587182239575,1.80110701293709,6.946839083561752,5.915273909554765,16,3.775305790697845
single-price,0.0,2018-08-03 00:00:00+00:00,1455.286940435334,0.0,0.0,8.105263157894736,7.315,0,2.220446049250313e-16
single-price,0.0001,2018-08-03 00:00:00+00:00,1455.2871581398124,0.00018295849716907665,0.0001651296570461764,8.105187544331026,7.314931759065909,0,3.4033955429721186e-10
single-price,0.0005,2018-08-03 00:00:00+00:00,1455.288252829749,8.801329062018756e-06,7.943158483070078e-06,6.8284095381079934,6.162639608184087,0,4.6119073234402835e-11
single-price,0.001,2018-08-03 00:00:00+00:00,1455.288651436996,5.890349636560162e-06,5.316040372806378e-06,6.516572010533787,5.881206239506744,0,0.0
single-price,0.005,2018-08-03 00:00:00+00:00,1455.289484625415,0.00037797894259844554,0.00034112767381351593,6.327004010727537,5.710121118946126,0,7.354777229156659e-10
single-price,0.01,2018-08-03 00:00:00+00:00,1455.2885431216414,0.00023867436048799015,0.00021540062785869944,6.326966695266922,5.710087442400409,0,1.1142470081574829e-10
dual-price,0.0,2018-08-03 00:00:00+00:00,1883.0241300492191,3.238187284597541,3.4445904725882808,9.766633179785911,9.09845160752757,7,1.4772426065044244
dual-price,0.0001,2018-08-03 00:00:00+00:00,1883.0241300612345,3.238187284641933,3.444590472077646,9.766633180322026,9.098451608271574,7,1.4772426060827897
dual-price,0.0005,2018-08-03 00:00:00+00:00,1883.0241313264646,3.2381872676168397,3.444590449985462,9.766633162810761,9.098451592629953,7,1.4772426086982853
dual-price,0.001,2018-08-03 00:00:00+00:00,1883.293553083074,3.2346826147103367,3.4406520880990765,9.763111200178791,9.095238298415094,7,1.4780626505864884
dual-price,0.005,2018-08-03 00:00:00+00:00,1883.7577559308793,3.2352454751595925,3.4350351774817387,9.75854523265053,9.091381387111507,7,1.4806887309935675
dual-price,0.01,2018-08-03 00:00:00+00:00,1884.4731638484225,3.2350208069521877,3.4099175857345263,9.73125044980156,9.066252556224612,7,1.4845061268197606
dispatchability,0.0,2018-08-03 00:00:00+00:00,,48.23068154772285,48.56704473130012,30.541607027313677,27.83671439259829,14,10.028231414880082
dispatchability,0.0001,2018-08-03 00:00:00+00:00,,7.296684537101646,7.033328486252162,25.259941403901344,23.113911204044882,16,3.6856803012316215
dispatchability,0.0005,2018-08-03 00:00:00+00:00,,5.424129066496501,4.504980173465629,24.636425862756127,22.57418459920015,13,3.6864092922912506
dispatchability,0.001,2018-08-03 00:00:00+00:00,,4.725672054990039,3.646949330541987,24.215931728922712,22.19830109414061,12,3.5654280763624504
dispatchability,0.005,2018-08-03 00:00:00+00:00,,3.3009958801888653,2.414380074392438,21.030084555469763,19.520932696743763,15,3.3682136713863775
dispatchability,0.01,2018-08-03 00:00:00+00:00,,2.546676454416947,1.6481481150126753,13.626273618403772,13.442538257252604,12,2.214063410124672
single-price,0.0,2018-08-04 00:00:00+00:00,1343.3321981845077,0.0,0.0,8.421052631578949,7.6,0,8.881784197001252e-16
single-price,0.0001,2018-08-04 00:00:00+00:00,1343.3331615717116,3.944536311073592e-05,2.01451159024706e-09,8.421052640772887,7.600000008152223,0,2.542465364613036e-09
single-price,0.0005,2018-08-04 00:00:00+00:00,1343.3341931935954,6.887513936254271e-05,2.917447917036198e-09,8.421052650250164,7.600000016502528,0,5.8782416078526115e-09
single-price,0.001,2018-08-04 00:00:00+00:00,1343.3322461552823,2.5882487694105296e-06,1.3015026024367923e-09,8.421052637543463,7.600000005319515,0,1.8249681104872402e-09
single-price,0.005,2018-08-04 00:00:00+00:00,1343.3325643277742,1.1420751282533679e-05,3.0875935482831705e-09,8.42105263925598,7.600000006900304,0,2.2821638491800286e-09
single-price,0.01,2018-08-04 00:00:00+00:00,1343.3321981330782,3.1567359858609724e-09,4.2879254246135334e-11,8.421052631566289,7.599999999992758,0,4.633839863736718e-12
dual-price,0.0,2018-08-04 00:00:00+00:00,2042.0632274914078,4.380875907266376,3.2619720590508177,7.571414648568979,7.382855999068841,10,2.764833894606137
dual-price,0.0001,2018-08-04 00:00:00+00:00,2042.0632282748677,4.380875871723592,3.2619720718071052,7.571414758656377,7.382856035413667,10,2.7648339518699228
dual-price,0.0005,2018-08-04 00:00:00+00:00,2042.0632283267098,4.380875838514255,3.2619720606748324,7.571414726515224,7.38285604030434,10,2.764833914086602
dual-price,0.001,2018-08-04 00:00:00+00:00,2042.2402833302522,4.358440017466237,3.2642675817322506,7.580279712119627,7.390856716479152,10,2.764699474537995
