price_model,k,box_lo,box_hi,delivery_start,total_charge_MWh,total_discharge_MWh,sat_hours,total_cost
dual,0,0.35,0.65,2018-01-16 00:00:00+00:00,10.54751874963001,8.022187016086962,19,4180.053083743817
single,0,0.05,0.95,2018-01-17 00:00:00+00:00,8.31578947368421,7.505,0,3983.810634950905
single,0,0.1,0.9,2018-01-17 00:00:00+00:00,8.31578947368421,7.505,0,3983.810634950905
single,0,0.15,0.85,2018-01-17 00:00:00+00:00,8.31578947368421,7.505,0,3983.810634950905
single,0,0.2,0.8,2018-01-17 00:00:00+00:00,8.31578947368421,7.505,0,3983.810634950905
single,0,0.25,0.75,2018-01-17 00:00:00+00:00,8.31578947368421,7.505,0,3983.810634950905
single,0,0.3,0.7,2018-01-17 00:00:00+00:00,8.31578947368421,7.505,0,3983.810634950905
single,0,0.35,0.65,2018-01-17 00:00:00+00:00,8.31578947368421,7.505,0,3983.810634950905
dual,0,0.05,0.95,2018-01-17 00:00:00+00:00,10.522769456001647,9.425572360372053,3,4023.146993234754
dual,0,0.1,0.9,2018-01-17 00:00:00+00:00,10.394439514285274,9.326661803829154,9,4001.030708238987
dual,0,0.15,0.85,2018-01-17 00:00:00+00:00,10.526471853905258,9.458410309195193,11,3985.8290728200855
dual,0,0.2,0.8,2018-01-17 00:00:00+00:00,10.918527119869033,9.74745862655231,11,3989.4934338608246
dual,0,0.25,0.75,2018-01-17 00:00:00+00:00,10.719257588862927,10.090475870669678,14,3980.1779734273714
dual,0,0.3,0.7,2018-01-17 00:00:00+00:00,10.987202182345614,10.188614632078973,14,4037.62857612481
dual,0,0.35,0.65,2018-01-17 00:00:00+00:00,10.035430203220065,9.02230094339912,18,4153.975804685875
single,0,0.05,0.95,2018-01-18 00:00:00+00:00,12.526315789473685,11.305,0,3895.209639634158
single,0,0.1,0.9,2018-01-18 00:00:00+00:00,12.526315789473685,11.305,0,3895.209639634158
single,0,0.15,0.85,2018-01-18 00:00:00+00:00,12.526315789473685,11.305,0,3895.209639634158
single,0,0.2,0.8,2018-01-18 00:00:00+00:00,12.526315789473685,11.305,0,3895.209639634158
single,0,0.25,0.75,2018-01-18 00:00:00+00:00,12.526315789473685,11.305,0,3895.209639634158
single,0,0.3,0.7,2018-01-18 00:00:00+00:00,12.526315789473685,11.305,0,3895.209639634158
single,0,0.35,0.65,2018-01-18 00:00:00+00:00,12.526315789473685,11.305,0,3895.209639634158
dual,0,0.05,0.95,2018-01-18 00:00:00+00:00,11.080820285221415,10.000440307412328,0,3983.989404966827
dual,0,0.1,0.9,2018-01-18 00:00:00+00:00,10.953262124718952,9.883495905396414,4,3977.752588197143
dual,0,0.15,0.85,2018-01-18 00:00:00+00:00,10.892278237146748,9.837084322142736,6,3967.75586375878
dual,0,0.2,0.8,2018-01-18 00:00:00+00:00,11.291390794170134,10.193162019075217,6,3967.0853045873578
dual,0,0.25,0.75,2018-01-18 00:00:00+00:00,13.801817429688812,12.11685080058854,13,4233.934688441564
dual,0,0.3,0.7,2018-01-18 00:00:00+00:00,14.327987959414912,12.334993205250713,15,4299.528309073812
dual,0,0.35,0.65,2018-01-18 00:00:00+00:00,14.193157307204775,11.972767259642506,19,4317.859867894069
single,0,0.05,0.95,2018-01-19 00:00:00+00:00,10.526315789473683,9.5,0,3707.5380650972393
single,0,0.1,0.9,2018-01-19 00:00:00+00:00,10.526315789473683,9.5,0,3707.5380650972393
